edge_id,from,to,flow
-58530583#1,621,594,0.0
-58530584#2,622,595,0.0
-58610501,277,274,0.0
-58610671,534,286,0.0
-58611080#0,528,532,0.0
-58611080#10,457,526,0.0
-58611080#2,521,528,0.0
-58611080#7,623,521,0.0
-58611080#8,526,623,0.0
-58611081#6,373,456,0.0
-58613566,532,389,0.0
-58640494#4,624,111,0.0
-58640494#7,625,624,0.0
-58759625#2,557,148,0.0
-58759625#3,550,557,0.0
-58759626,626,624,0.0
-58760424#4,627,628,0.0
-58760425#1,629,580,0.0
-58760426#0,608,174,0.0
-58760426#2,628,608,0.0
-58760427#2,620,589,0.0
-58760427#4,418,620,0.0
-58760428,630,628,0.0
-58760435#1,579,173,0.0
-58760435#2,627,579,0.0
-58760435#3,602,627,0.0
-58760437#0,615,631,0.0
-58760437#1,611,615,0.0
-58760437#4,585,611,0.0
-58760438,580,591,0.0
-58760439#3,587,561,0.0
-58760439#6,559,587,0.0
-58760439#7,632,559,0.0
-58761210,633,185,0.0
-58761606,634,183,0.0
-58761607,189,596,0.0
-608921524,15,460,0.0
-61934860#2,303,635,0.0
-61934872#0,448,215,0.0
-61934872#3,636,448,0.0
-61934876,637,217,0.0
-62032407,224,638,0.0
-62055379#1,639,340,0.0
-62055665#0,640,224,0.0
-62055665#1,641,640,0.0
-622364503,642,547,0.0
-622364504,162,430,0.0
-625024452,643,310,0.0
-625024453#1,644,311,0.0
-625575509,645,306,0.0
-629516620,86,646,0.0
-629516621#1,647,158,0.0
-629516621#4,648,647,0.0
-639294331,5,649,0.0
-66755324#5,650,536,0.0
-66755325#1,651,372,0.0
-66755326,290,535,0.0
-66755328#1,652,522,0.0
-66758837#0,559,560,0.0
-66758842#0,200,629,0.0
-66758842#1,589,200,0.0
-66758853,653,564,0.0
-66758870#2,654,581,0.0
-66758871#0,572,574,0.0
-66758871#1,573,572,0.0
-66758871#4,655,573,0.0
-66758876#1,300,656,0.0
-671725483#0,218,235,0.0
-671725483#1,207,218,0.0
-688590311,657,658,0.0
-688590312,659,660,0.0
-699762287,102,162,0.0
-700553431#1,363,251,0.0
-700553431#3,95,363,0.0
-700553432#0,661,251,0.0
-700553432#1,248,661,0.0
-700553432#2,230,248,0.0
-700553433,97,100,0.0
-700553434#0,371,95,0.0
-700553434#1,662,371,0.0
-710634802#2,537,663,0.0
-710881906,664,665,0.0
-717838603#3,87,666,0.0
-718078209#2,513,667,0.0
-727714808#0,470,444,0.0
-727714808#2,668,470,0.0
-727715074#0,669,461,0.0
-727715074#1,182,669,0.0
-727715074#2,486,182,0.0
-727715074#4,444,486,0.0
-727715249,461,433,0.0
-730423880,670,601,0.0
-730423881,17,16,0.0
-731154055,671,302,0.0
-731748988,672,673,0.0
-732257382,674,527,0.0
-736477243#0,409,675,0.0
-737565192,676,677,0.0
-73813922#1,678,679,0.0
-73813922#2,680,678,0.0
-73813922#3,681,680,0.0
-73813922#5,682,681,0.0
-73813922#6,683,682,0.0
-73813922#7,397,683,0.0
-73813927#3,237,236,0.0
-73813928#0,383,684,0.0
-73813928#2,685,383,0.0
-73814457#5,320,495,0.0
-757805116#0,686,494,0.0
-757805116#1,497,686,0.0
-757805117,687,494,0.0
-757805118#0,688,689,0.0
-757805118#1,690,688,0.0
-757805118#2,691,690,0.0
-757849609,137,128,0.0
-759999001#0,520,692,0.0
-759999001#1,530,520,0.0
-759999001#2,531,530,0.0
-759999001#3,511,531,0.0
-760003965#0,693,409,0.0
-760003965#5,241,693,0.0
-760194461#1,168,694,0.0
-760194463#4,695,694,0.0
-761772608#0,260,696,0.0
-761929572#1,697,115,0.0
-762424120,665,698,0.0
-765654817,293,699,0.0
-769274806#1,662,385,0.0
-770209172,164,294,0.0
-770209174#1,152,147,0.0
-770209174#5,582,152,0.0
-770214429,547,582,0.0
-772169722#0,700,452,0.0
-772169722#3,701,700,0.0
-772169722#4,679,701,0.0
-77595005#0,702,335,0.0
-77595005#1,342,702,0.0
-776158544,289,703,0.0
-778289602#1,704,275,0.0
-778289603,705,538,0.0
-788234543#0,518,706,0.0
-788234543#1,707,518,0.0
-788239918,75,271,0.0
-788239919,277,271,0.0
-792454553,525,456,0.0
-795719889,142,666,0.0
-80030500#2,708,240,0.0
-80030500#3,709,708,0.0
-80030500#4,352,709,0.0
-80030500#5,129,352,0.0
-80030501#1,322,240,0.0
-80030524#6,492,710,0.0
-80030528#0,407,241,0.0
-80030528#1,711,407,0.0
-80030529#1,712,86,0.0
-80030529#4,713,712,0.0
-80037087,714,446,0.0
-80043007#4,468,444,0.0
-80043007#7,484,468,0.0
-80043569#1,474,669,0.0
-80043569#6,715,474,0.0
-801658884#1,232,245,0.0
-80180118,716,717,0.0
-80180136#0,717,658,0.0
-80180136#1,718,717,0.0
-80186390#0,719,720,0.0
-80186390#1,721,719,0.0
-80186391#0,722,723,0.0
-80186391#1,724,722,0.0
-80186392#2,55,359,0.0
-80186393#0,719,396,0.0
-80186398#1,725,678,0.0
-80186399#0,723,123,0.0
-80186399#1,726,723,0.0
-80186400#1,396,700,0.0
-80186401#2,722,452,0.0
-80186401#3,727,722,0.0
-80186402#0,56,728,0.0
-80186402#2,729,55,0.0
-803648694,706,315,0.0
-80701370,303,209,0.0
-80718334#0,641,730,0.0
-80718334#2,731,641,0.0
-80718334#3,225,731,0.0
-809589704,732,479,0.0
-809589706,479,176,0.0
-809589711,733,66,0.0
-810822813,734,707,0.0
-812894797,735,283,0.0
-812894798,736,517,0.0
-812894799#1,517,735,0.0
-82265759#10,725,112,0.0
-82265759#12,679,725,0.0
-82265759#5,685,236,0.0
-82265759#6,112,685,0.0
-82266118,679,737,0.0
-827459315,738,276,0.0
-827459317#1,315,738,0.0
-827459318#1,266,707,0.0
-827459319#0,651,734,0.0
-827459319#1,699,651,0.0
-83091470#1,203,739,0.0
-83091478#1,340,504,0.0
-83091478#3,702,340,0.0
-83091479,504,740,0.0
-83091492,741,742,0.0
-836883122,283,79,0.0
-836895520,77,736,0.0
-860097911,575,567,0.0
-860097912#1,127,575,0.0
-860097914#0,567,302,0.0
-863114957#1,20,52,0.0
-863812553#1,657,6,0.0
-863812553#2,743,657,0.0
-866208287#2,483,744,0.0
-87308466#1,304,745,0.0
-87352910#1,202,746,0.0
-87352912,209,747,0.0
-87353269,201,748,0.0
-87353465#2,749,750,0.0
-87371053,221,214,0.0
-87371081#0,450,751,0.0
-87371081#1,212,450,0.0
-87371081#2,215,212,0.0
-87371085,751,305,0.0
-87371681,305,752,0.0
-877476307,362,104,0.0
-88324894#0,753,754,0.0
-88324894#1,755,753,0.0
-88324895,223,753,0.0
-88325495,731,640,0.0
-88325568,756,226,0.0
-88325569,641,757,0.0
-88325571#1,325,758,0.0
-88325571#2,759,325,0.0
-893333840,176,733,0.0
-904367560#5,607,126,0.0
-904367560#7,502,607,0.0
-930739001,738,269,0.0
-964896015,561,193,0.0
-965418527,76,704,0.0
-98219769#0,760,761,0.0
-98219769#1,762,760,0.0
-98219775#0,763,764,0.0
-98219775#1,405,763,0.0
-98219775#3,765,405,0.0
-98219775#4,766,765,0.0
-98219792#0,354,766,0.0
-98219816#1,767,765,0.0
-98219822,768,316,0.0
-98219880#2,769,257,0.0
-98219885,770,771,0.0
-98219983#1,772,773,0.0
-98220000#0,774,399,0.0
-98220000#1,775,774,0.0
-98220000#2,776,775,0.0
-98220020#0,771,777,0.0
-98220020#1,778,771,0.0
-98220020#2,779,778,0.0
-98220020#3,775,779,0.0
-98220020#4,780,775,0.0
-98220020#5,9,780,0.0
-98220020#6,24,9,0.0
-98220029#0,781,782,0.0
-98220029#1,783,781,0.0
-98220043#10,57,24,0.0
-98220043#13,784,57,0.0
-98220043#2,785,356,0.0
-98220043#3,786,785,0.0
-98220043#4,773,786,0.0
-98220043#5,44,773,0.0
-98220043#7,24,23,0.0
-98220063#0,787,788,0.0
-98220063#1,778,787,0.0
-98220063#2,789,778,0.0
-98220083#0,317,790,0.0
