edge_id;from;to;flow
-253557194#1;2194131035;cluster_1136247278_3732912605;0.0
-253557195#0;1136247404;cluster_1136247278_3732912605;0.0
-253557195#2;2631659919;1136247404;0.0
-254237235#3;2600304134;cluster_3527866944_3527866948;0.0
-254237235#7;2631659772;2600304134;0.0
-257684424#3;1607909310;cluster_1136247278_3732912605;0.0
-257690252#0;2631705661;686822445;0.0
-257690252#1;2631705616;2631705661;0.0
-257769483#0;2194182641;3732978330;0.0
-257769483#1;1136250073;2194182641;0.0
-257769483#2;1136251180;1136250073;0.0
-259619727#0;2650550947;3732893039;0.0
-26640487;5268060649;278814743;0.0
-288104875#10;935539971;cluster_2180390976_2916459410_935539899;0.0
-288104875#11;935540067;935539971;0.0
-289599543#1;1137747525;2565984411;0.0
-289794264#0;2933341520;719089955;0.0
-289794264#1;2933341516;2933341520;0.0
-289794296#6;1137739286;1225652401;0.0
-289794301#1;2933341539;2933341520;0.0
-289794309#1;2188631723;719065617;0.0
-295021292#1;686822458;2986789482;0.0
-295026431;1386606748;686822483;0.0
-295192504;2989024645;cluster_7181120639_9207664593;0.0
-297337158#4;715598866;715598666;0.0
-297693829#0;7077194602;686822265;0.0
-297693829#1;686822132;7077194602;0.0
-297693832#0;686822133;3015897880;0.0
-297693832#1;686792685;686822133;0.0
-300197806;2594919189;2193189599;0.0
-300198414;2594919176;cluster_2193189449_2193189486;0.0
-307669477;3128741687;3128741688;0.0
-319674205#0;715759700;728269795;0.0
-320029967#0;cluster_1139328684_1139328775;1137739283;0.0
-320210933#1;1166259283;461890657;0.0
-320335709#2;8205734179;717703168;0.0
-320335709#4;715642959;8205734179;0.0
-320335709#5;715598988;715642959;0.0
-333846925#1;1137747532;1137796469;0.0
-333846928;2650611266;933736933;0.0
-334461376#1;1136253012;2650550082;0.0
-344154117#1;cluster_2631567597_2631567598;686822310;0.0
-368742218#0;2631705661;686822463;0.0
-369119776;621447467;621447458;0.0
-369119777;621447458;935540105;0.0
-369119778;935540105;935540128;0.0
-369119779#1;935540105;cluster_292199335_935539995;0.0
-369505146;1136247888;2650550947;0.0
-369511431;1136248709;1136250737;0.0
-369540494#3;2565985875;2565986000;0.0
-369890250;3736282269;3736282266;0.0
-369921066#1;cluster_3732941168_686822156;1136247885;0.0
-370035944#1;3737604450;1787861700;0.0
-370037212#1;3736282279;7131140539;0.0
-376301527#3;715599085;715066056;0.0
-376302310;715598472;717715350;0.0
-376302311;715066048;715598554;0.0
-376302312#0;715598890;715599471;0.0
-376302312#1;717715350;715598890;0.0
-376302313#1;715599471;715066048;0.0
-376304856#1;719065144;719089768;0.0
-376304856#2;719065321;719065144;0.0
-376304857#0;719065211;719065398;0.0
-376304857#1;719090096;719065211;0.0
-376304857#2;1878842479;719090096;0.0
-376304857#3;719089768;1878842479;0.0
-376304859;719065398;2933341516;0.0
-376332577#2;3780624615;807143059;0.0
-376333335;715599085;cluster_715598886_715599315;0.0
-376334049#4;717687928;717688294;0.0
-376334050;717687909;717688294;0.0
-376334597#0;719073238;4912364265;0.0
-376334597#5;715599424;719073238;0.0
